title,itemtype,deweyClass,Counts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"English for the real world",bccd,428.34,797,0,91,101,91,74,98,92,84,82,30,33,14,7
"Japanese Disc 1 Eating and drinking",jcdvd,495.68342,794,0,0,0,81,147,120,85,100,79,66,54,46,14
"French Part B the complete course II",accd,448.3421,788,7,6,113,114,113,92,94,80,61,46,25,31,6
"Spanish Disc 6 I can count",jcdvd,468.3421,786,0,0,0,0,94,184,133,123,88,58,52,46,8
"Russian the short course",accd,491.78342,782,58,64,79,82,92,80,77,58,56,40,38,35,21
"Dance learn Chinese with Mei Mei",jcdvd,495.18342,777,86,63,138,152,110,92,47,39,29,10,8,3,0
"Meet the letters",jcdvd,428.13,776,17,140,134,89,60,22,46,119,75,41,22,7,4
"Teach me everyday Spanish Volume 1",jcbk,468.3421,768,0,0,0,84,86,126,102,86,79,62,63,58,22
"Mandarin Chinese Disc 4 In my home",jcdvd,495.13421,761,0,0,0,0,109,147,133,120,92,70,48,31,10
"Mandarin Chinese Disc 6 I can count",jcdvd,495.13421,754,0,0,0,0,101,165,127,103,85,74,53,39,6
"French 3 Playtime",jcdvd,448.3421,750,0,0,0,101,125,114,84,118,77,73,26,25,7
"Basic American grammar and usage an ESL EFL handbook",bcbk,428.24,743,0,72,131,133,91,109,75,54,38,18,10,7,5
"Korean Part A the complete course I",accd,495.78342,739,30,70,77,75,71,69,72,69,55,41,38,43,22
"Muzzy Spanish",jcdvd,468.3421,732,77,104,147,122,92,79,48,32,11,12,8,0,0
"French 2 Wake up smiling",jcdvd,448.3421,731,0,0,0,111,115,105,76,103,83,48,42,36,12
"Pimsleur language programs Portuguese Brazilian I A the complete course",accd,469.8,727,51,64,85,90,89,75,73,63,42,40,22,21,12
"Chinese for kids Beginner level 1 volume 1",jcdvd,495.18342,719,28,132,152,130,97,66,35,24,10,13,8,3,18
"Hola amigos Volume 1",jcdvd,468.3421,712,136,122,127,116,70,44,32,33,14,5,6,5,2
"French Disc 4 In my home",jcdvd,448.3421,705,0,0,0,0,75,130,107,138,87,72,46,36,14
"Bonjour les amis Volume 2",jcdvd,448.3421,704,146,100,118,121,79,60,49,18,4,3,5,1,0
"Eats shoots leaves why commas really do make a difference",jcbk,428.2,699,53,98,101,81,79,81,64,51,32,25,16,13,5
"Ultimate Spanish advanced",accd,468.2421,695,0,62,125,99,101,67,56,49,42,41,36,16,1
"Learn French with PÃ¢Â€ÂšnÃ¢Â€Âšlope Pezi Beginners level 1 volume 1",jcdvd,448.2421,691,121,112,123,96,70,46,40,27,18,21,14,3,0
"Essential idioms in English phrasal verbs and collocations",bcbk,428.24,690,0,22,102,57,56,54,84,97,56,45,49,48,20
"Watch learn Spanish with Professor Toto Part II Professor Totos house",jcdvd,468.3421,683,0,180,189,134,100,58,16,6,0,0,0,0,0
"Bonjour les amis Volume 1",jcdvd,448.3421,682,154,96,119,112,63,46,25,23,18,15,9,2,0
"Basic grammar in use self study reference and practice for students of English",bcbk,428.24,681,68,54,49,150,151,83,62,35,16,6,4,3,0
"First fun with French",jcdvd,448.3421,674,118,85,101,103,84,58,45,29,15,14,8,8,6
"Japanese Disc 2 Wake up smiling",jcdvd,495.68342,673,0,0,0,70,135,119,77,77,64,41,42,32,14
"Accent reduction made easy",bccd,421.54,670,0,41,86,154,126,80,57,35,37,23,18,5,8
"English vocabulary for beginning ESL learners",bcbk,428.24,657,0,63,99,117,96,58,39,24,26,44,37,26,28
"Mandarin Chinese Disc 5 Happy sad and silly",jcdvd,495.13421,654,0,0,0,0,94,146,115,89,60,65,44,29,10
"Pimsleur language programs Chinese Mandarin II B the complete course",accd,495.1,651,60,57,78,75,78,74,63,40,41,28,20,28,7
"Learn English as a second language Prepositions questions and time",bcdvd,428.24,649,0,85,151,137,108,75,37,20,16,8,7,4,1
"Writing better English for ESL learners",bcbk,428.24,640,0,0,0,0,124,122,82,107,89,35,30,28,23
"Pimsleur language programs German II B the complete course",accd,438.3421,636,51,51,77,57,78,52,48,53,47,49,32,30,11
"French Disc 5 Happy sad and silly",jcdvd,448.3421,636,0,0,0,0,58,114,102,122,87,66,47,24,16
"Italian for dummies",acbk,458.2421,634,30,11,6,50,71,77,90,97,68,44,34,37,19
"English for everyday activities a picture process dictionary",bcbk,428.24,632,93,38,33,26,121,114,89,51,31,16,8,8,4
"French Disc 6 I can count",jcdvd,448.3421,630,0,0,0,0,73,131,93,112,86,70,36,20,9
"Japanese Disc 3 Playtime",jcdvd,495.68342,628,0,0,0,67,126,119,71,77,53,44,32,26,12
"English grammar for ESL learners",bcbk,428.24,619,0,63,108,97,69,56,43,37,32,35,35,32,12
"Spanish for gringos Level 1 shortcuts tips and secrets to successful learning",acbk,468.2421,616,0,0,0,45,88,81,72,84,66,49,60,50,21
"Easy American idioms hundreds of idiomatic expressions to give you an edge in English",bccd,427.973,615,0,80,125,134,94,65,33,23,21,15,16,5,4
"Schoolhouse rock Grammar",jcdvd,428,611,0,0,0,0,0,80,155,137,85,80,42,15,17
"Watch learn Spanish with Professor Toto Part I Eric goes to school",jcdvd,468.3421,611,0,101,130,114,76,62,41,28,17,15,12,9,6
"Easy English Volume 1 Understanding basic conversation",bcdvd,428.34,606,0,0,0,36,76,132,117,73,63,43,32,27,7
"Grammar in plain English",acbk,428.2,602,55,71,81,48,36,18,39,76,73,47,29,15,14
"Pimsleur language programs Chinese Cantonese I A the complete course",accd,495.17342,599,59,64,93,76,54,43,47,40,44,37,22,10,9
"American English pronunciation its no good unless youre understood",bccd,428.1,597,0,0,125,107,104,89,63,28,35,13,18,11,4
"everything learning French book speak write and understand basic French in no time",acbk,448.2421,596,0,0,0,53,63,72,86,80,61,51,41,52,37
"TOEFL iBT with CD ROM",acbk,428.0076,589,0,40,130,130,132,81,39,20,13,4,0,0,0
"Speak to me interactive English learning system Set 2",bcdvd,428.34951,588,0,0,103,108,83,85,73,45,38,20,14,11,8
Spanish,accd,468.3421,584,175,135,120,82,35,16,12,7,2,0,0,0,0
"2000 essential English verbs the easiest way to master verbs and speak fluently",bcbk,428.2,582,0,103,125,128,92,52,40,16,7,8,6,5,0
"Collins Spanish dictionary",acbk,463.21,577,0,0,58,77,59,51,96,79,69,39,19,19,11
"Chinese Cantonese the short course",accd,495.1,570,82,82,77,61,56,47,35,28,35,33,9,17,7
"mother tongue English how it got that way",acbk,420.9,565,40,37,50,60,59,47,38,40,47,50,48,28,21
"official guide to the TOEFL test",acbk,428.24,565,0,0,0,85,133,93,72,71,47,40,11,13,0
"Chinese for kids Beginner level 1 volume 2",jcdvd,495.18342,564,21,106,112,86,62,55,40,21,15,8,10,10,16
"Speak to me interactive English learning system Set 1",bcdvd,428.34,558,0,0,0,92,94,106,76,60,32,32,35,19,12
"Muzzy French",jcdvd,448.3421,553,69,74,113,81,76,53,32,22,14,12,7,0,0
"Habla EspaÃ‚Â¤ol learning Spanish the basics and beyond the basics",acdvd,468.2421,552,0,0,0,101,138,96,81,44,26,26,32,8,0
"Essentials of English grammar the quick guide to good English",acbk,428.24,545,70,93,106,94,60,44,24,21,11,2,2,7,11
"Bonjour les amis Volume 3",jcdvd,448.3421,544,123,89,90,99,53,32,25,17,6,5,4,1,0
"Learn advanced Spanish building on the basics",acdvd,468.2421,541,0,0,0,83,112,98,73,63,38,24,26,17,7
"Pimsleur language programs Russian I B the complete course",accd,491.78234,540,46,58,68,49,61,60,33,35,40,28,25,20,17
"Hola amigos Volume 2",jcdvd,468.3421,539,125,74,86,71,63,37,23,21,13,10,10,2,4
"Easy pronunciation",bccd,421.54,537,0,76,104,107,79,66,37,31,18,9,5,2,3
"My first book of Spanish words",jcbk,463.21,536,0,0,0,0,69,84,62,77,72,76,58,31,7
"Pronunciation pairs an introduction to the sounds of English",bcbk,428.34,531,0,0,0,132,92,88,57,51,39,30,27,9,6
"Longman dictionary of American English",bcbk,423.1,530,0,0,0,0,136,137,71,72,42,30,22,16,4
"Pimsleur language programs Chinese Mandarin III A the complete course",accd,495.1,530,58,46,61,49,67,53,43,34,45,32,20,11,10
"French for dummies",acbk,448.2421,527,0,0,0,0,0,34,148,134,99,47,34,22,9
"Usborne Internet linked first thousand words in Spanish with Internet linked pronunciation guide",jcbk,468.2,526,19,54,70,50,50,115,81,66,21,0,0,0,0
"basic Oxford picture dictionary",bcbk,423.1,524,40,28,44,33,82,57,47,51,49,22,28,31,12
"professor and the madman a tale of murder insanity and the making of the Oxford English dictionary",acbk,423,524,72,64,72,67,76,76,52,26,11,8,0,0,0
"English for Mandarin Chinese speakers",bccd,428.34951,521,62,65,80,67,53,47,37,35,30,16,18,7,4
"Grammar step by step with pictures",bcbk,428.2076,521,0,0,0,0,82,104,84,84,71,43,24,21,8
"Early start Mandarin Chinese Volume 1 Colors and animals",jcdvd,495.18342,520,0,86,139,96,58,55,47,25,11,3,0,0,0
"Habla EspaÃ‚Â¤ol beyond the basics",acdvd,468.2421,518,0,0,0,87,129,87,63,58,35,28,25,6,0
"Kids love Spanish Volume 1 Basic words",jcdvd,468.3421,513,0,0,148,113,71,50,40,36,21,7,13,11,3
"Easy English Volume 2 Meeting and greeting",bcdvd,428.34,512,0,0,0,40,65,109,93,62,49,26,38,25,5
"Professor Parrot speaks Spanish We are friends Somos amigos",jcdvd,468.2421,512,99,114,105,93,39,20,11,12,5,7,4,2,1
"French demystified",acbk,448.2421,511,0,0,0,31,49,55,85,69,35,60,52,47,28
"Basic grammar in use self study reference and practice for students of North American English with answers",bcbk,428.24,507,0,0,0,0,0,0,0,70,160,108,90,61,18
"Learn English as a second language Pronouns adjectives and the present tense",bcdvd,428.24,506,0,100,126,90,71,42,25,19,12,8,8,4,1
"Pimsleur language programs German III A the complete course",accd,438.3421,506,57,43,56,38,44,43,33,39,29,50,28,30,16
"My first book of French words",jcbk,443.21,506,0,0,0,1,83,70,53,67,56,63,46,45,22
Korean,accd,495.78342,506,45,47,62,56,55,49,56,36,29,25,24,15,6
"Pimsleur language programs French II B the complete course",accd,448.3421,505,61,48,72,59,70,68,57,42,28,0,0,0,0
"Speak to me interactive English learning system Set 3",bcdvd,428.34951,505,0,0,89,88,80,66,66,46,31,14,15,3,7
"French the easy way",acbk,448.2421,503,61,55,60,68,67,47,42,36,32,12,17,6,0
"Instant immersion ESL English as a second language",bccd,428.34,498,0,89,119,107,71,48,26,9,13,5,6,4,1
"Pimsleur language programs Portuguese Brazilian I B the complete course",accd,469.8,495,45,44,52,57,60,43,30,46,37,28,22,15,16
"Early start Mandarin Chinese Volume 2 Numbers and fruits",jcdvd,495.18342,495,0,73,131,90,70,50,32,18,9,8,7,6,1
"Easy English Volume 4 Directions and addresses",bcdvd,428.34,491,0,0,0,40,69,117,86,66,43,26,20,18,6
"Easy Spanish step by step master high frequency grammar for Spanish proficiency fast",acbk,468.2421,490,0,0,0,48,74,59,40,62,54,34,40,44,35
"everything kids learning Spanish book exercises and puzzles to help you learn espaÃ‚Â¤ol",jcbk,468.2421,487,0,0,0,0,8,79,66,64,100,83,68,19,0
"Spanish for kids Beginner level 1 volume 1",jcdvd,468.3421,483,22,115,119,86,50,35,23,12,10,7,4,0,0
"Raining cats dogs",jcbk,428,482,0,0,22,88,56,47,53,53,59,45,31,17,11
"English for Cantonese Chinese speakers",bccd,428.34951,482,58,64,73,61,59,35,34,33,30,16,11,5,3
"Learn Spanish with Carlos Chiquitita Level 1 volume 1",jcdvd,468.2421,478,119,88,110,71,43,24,15,8,0,0,0,0,0
"Italian Disc 1 Eating and drinking",jcdvd,458.3421,477,0,0,0,50,101,87,58,50,44,34,22,22,9
"Pimsleur language programs Arabic Eastern I B the complete course",accd,492.7,476,42,40,66,52,50,47,45,35,25,24,22,18,10
"Hola amigos Volume 3",jcdvd,468.3421,475,105,66,81,66,46,40,30,11,8,8,5,5,4
"Pimsleur language programs Italian II B the complete course",accd,458.3421,475,70,60,67,58,45,53,46,46,30,0,0,0,0
"My first book of Mandarin Chinese words",jcbk,495.1321,474,0,0,0,0,60,63,52,54,46,52,56,68,20
"Basic English grammar Workbook",bcbk,428.24,472,0,0,0,0,155,94,59,60,57,21,14,10,2
"Understanding and using English grammar workbook",bcbk,428.24,471,24,19,29,15,89,78,62,41,32,30,23,22,7
"English the easy way",acbk,428.2,469,63,53,59,101,64,42,27,24,17,5,6,2,6
"Lyric language Spanish",jcdvd,468.3421,469,121,101,96,75,26,20,10,7,3,2,4,3,1
"1500 words in 15 minutes a day a year long plan to learn 28 words a week",bcbk,428.1,468,0,0,65,66,61,41,55,51,42,28,27,21,11
"Egyptian Arabic the short course",accd,492.783,468,27,51,62,64,48,46,37,38,25,17,26,16,10
"Easy English Volume 3 Using numbers and money",bcdvd,428.34,465,0,0,0,39,60,110,78,53,43,22,30,22,8
"English ESL 3 Playtime",jcdvd,428.3461,463,0,0,0,83,93,81,66,59,28,28,9,11,5
"French in action",acvhs,448,460,147,140,138,22,7,6,0,0,0,0,0,0,0
"1000 Spanish words",jcbk,463.21,459,55,35,24,14,13,15,2,60,62,39,56,55,29
"American accent training",bccd,428.1,457,0,42,91,81,71,65,38,31,17,9,10,1,1
"English ESL 2 Wake up smiling",jcdvd,428.3461,457,0,0,0,88,100,86,51,52,24,29,16,9,2
"Learn advanced Spanish verbs",acdvd,468.2421,456,0,0,0,78,116,87,66,52,34,23,0,0,0
"Kids love Spanish Volume 2 Alphabet numbers",jcdvd,468.3421,455,0,0,113,69,65,44,45,33,29,15,15,16,11
"Kids love Spanish Volume 7 Basic phrases",jcdvd,468.3421,451,0,0,83,75,59,49,36,44,37,28,27,9,4
"First fun with Spanish",jcdvd,468.3421,450,0,26,122,115,55,48,26,22,17,9,8,2,0
"Easy French step by step master high frequency grammar for French proficiency fast",acbk,448.2421,448,0,0,0,0,69,79,63,66,41,34,43,38,15
"Parla Italiano learn to speak Italian nouns verbs adjectives",acdvd,458.3421,446,0,0,0,39,66,78,66,61,47,27,33,23,6
"Barrons E Z Spanish",acbk,468.2421,446,0,0,0,40,51,45,43,47,45,57,56,45,17
"English for new Americans Everyday life",bckit,428.34,444,0,56,131,117,76,21,11,10,5,9,5,3,0
"English ESL 1 Eating and drinking",jcdvd,428.3461,443,0,0,0,83,99,91,45,49,29,24,13,7,3
"5 minute French",acbk,448.2421,442,0,0,0,0,76,83,84,58,52,34,28,21,6
"Vamos a jugar Lets play",jcdvd,468.3421,440,0,0,0,61,73,56,56,57,46,41,23,20,7
"English the American way a fun ESL guide to language and culture in the U S",bcbk,428.24,439,0,0,0,0,0,0,0,0,0,165,116,107,51
