title,itemtype,deweyClass,Counts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Russian for dummies",acbk,491.78242,98,0,25,22,21,19,6,5,0,0,0,0,0,0
"InglÃ¢Â€Âšs para limpieza y mantenimiento English for cleaning and maintenance palabras y frases esenciales para comunicarse exitosamente en los trabajos de limpieza y mantenimiento",bccd,428.3461,98,0,0,2,29,15,21,12,7,5,4,3,0,0
"Chinese in 10 minutes a day",acbk,495.18242,98,26,25,17,12,10,4,4,0,0,0,0,0,0
"Merriam Websters Spanish English dictionary",acbk,463.21,97,0,0,0,0,0,0,0,0,22,24,18,20,13
"Test words you should know 1000 essential words for the New SAT and other standardized tests",acbk,428.1,97,5,31,25,16,11,9,0,0,0,0,0,0,0
Alphabet,jcbk,428.1,97,0,0,0,0,0,0,0,0,0,0,0,45,52
"Lets visit Chinese kindergarten",jcvhs,495.1,97,45,22,21,9,0,0,0,0,0,0,0,0,0
"Basic reading power pleasure reading comprehension skills vocabulary building thinking skills",bcbk,428.64,97,0,0,0,15,15,15,13,13,11,5,5,2,3
"Italian the complete course IV part A",accd,458.3421,97,0,0,0,0,0,0,0,0,8,28,23,24,14
"Ready for adult phonics Level 1",acdvd,428.40715,97,0,0,0,0,29,27,9,16,8,5,1,1,1
"Mastering Spanish",accd,468,97,26,7,15,19,16,13,1,0,0,0,0,0,0
"Grammar Girls 101 troublesome words youll master in no time",acbk,428.2,97,0,0,0,0,0,0,23,24,25,11,4,6,4
"Spanish conversation demystified a self teaching guide",acbk,468.3421,97,0,0,0,0,0,6,36,32,19,4,0,0,0
"American Heritage childrens thesaurus",jcbk,423.1,96,12,5,17,12,6,4,7,10,4,11,3,4,1
"exaltation of larks the ultimate edition",acbk,428.1,96,0,0,18,13,6,9,8,7,13,9,4,6,3
"Italian Disc 6 I can count",jcdvd,458.3421,96,0,0,0,0,0,0,22,22,18,9,9,11,5
"Wordcatcher an odyssey into the world of weird and wonderful words",acbk,422.03,96,0,0,0,0,9,31,14,9,13,4,11,5,0
"Talk dirty French beyond merde the curses slang and street lingo you need to know when you speak FranÃ¢Â€Â¡ais",acbk,447.09,96,0,0,0,0,21,18,13,15,12,8,6,3,0
"Streetwise Mandarin Chinese speak and understand everyday Mandarin",acbk,495.1834,96,0,0,0,26,27,12,9,12,6,4,0,0,0
"Language at the speed of sight how we read why so many cant and what can be done about it",acbk,428.40711,96,0,0,0,0,0,0,0,0,0,0,0,65,31
"GramÃ‚Â tica espaÃ‚Â¤ola para estudiantes de inglÃ¢Â€Âšs a simplified grammar for Spanish speakers learning English",bcbk,468.2421,96,20,17,29,17,3,4,1,3,2,0,0,0,0
"French in action a beginning course in language and culture",acbk,448.2421,95,24,16,18,11,10,11,5,0,0,0,0,0,0
"Side by side Book 4 Student book",bcbk,428.34,95,0,0,0,17,35,20,2,9,6,3,2,1,0
"Hide this Italian book Xtreme",acbk,458.3421,95,0,0,0,0,17,22,12,10,15,9,5,4,1
"Barrons junior rhyming dictionary",jcbk,423.1,95,4,19,11,9,4,5,12,10,14,1,2,4,0
"Talk the talk the slang of 65 American subcultures",acbk,427.73,95,1,26,15,14,8,9,7,8,6,1,0,0,0
"book of unnecessary quotation marks a celebration of creative punctuation",acbk,421.10222,95,0,0,0,0,22,25,16,11,4,6,6,2,3
"Jie jin Ying wen shu xie ji qiao Expressions in written English",acbk,428.2,95,26,18,19,11,8,4,5,4,0,0,0,0,0
"Many luscious lollipops a book about adjectives",jcbk,425,95,8,5,5,14,10,6,7,7,6,14,4,6,3
"Cantonese made nice easy",acbk,495.17,95,0,0,0,11,13,7,7,9,12,7,14,9,5
"Pocket Oxford German dictionary German English English German",acbk,433.21,95,0,0,7,21,17,17,14,9,4,4,2,0,0
"InglÃ¢Â€Âšs para el trabajo domÃ¢Â€Âšstico English for housekeeping palabras y frases esenciales para comunicarse exitosamente en los trabajos domÃ¢Â€Âšstico",bccd,428.3461,94,0,0,3,29,19,26,4,7,4,0,1,1,0
"ESL Demystified",bcbk,428.24,94,0,0,0,0,0,0,0,0,0,32,31,23,8
"Sesame Street dictionary",jcbk,423,94,21,28,22,11,8,4,0,0,0,0,0,0,0
"Grammar in context",acbk,428.24,94,19,22,21,23,6,3,0,0,0,0,0,0,0
"Busy word book",jcbk,428.1,94,0,0,0,0,0,0,0,0,0,0,0,0,94
"Merriam Websters elementary dictionary",jcbk,423,94,0,0,0,12,13,4,4,9,17,9,11,4,11
"Mine all mine a book about pronouns",jcbk,428.2,94,14,15,12,12,9,3,3,5,3,5,5,5,3
"words you should know to sound smart 1200 essential words every sophisticated person should be able to use",acbk,428.1,94,0,0,0,0,0,12,19,17,9,16,10,6,5
"Zhang wo Ying yu 8000 ci",acbk,428.0071,94,15,17,10,11,9,11,6,4,5,4,1,1,0
"Intermediate English reading and comprehension",bcbk,428.64,94,0,0,0,0,0,0,0,0,0,22,29,23,20
"Correct your English errors avoid 99% of the common mistakes made by learners of English",bcbk,428.24,94,0,0,0,0,0,0,0,0,0,0,1,65,28
"Fundamentals of Chinese characters Han zi ji chu Yin Jinghua",acbk,495.18242,94,0,0,8,16,15,14,4,12,5,3,9,5,3
"Survival English for Spanish speakers",bckit,428.3461,93,12,17,30,16,6,1,2,3,3,2,1,0,0
"big book of alphaTales 26 irresistible stories that build phonemic awareness teach each letter of the alphabet",jcbk,421.1,93,0,0,0,0,0,37,19,26,11,0,0,0,0
"Intermediate English grammar for ESL learners",bcbk,428.24,93,0,0,0,0,0,0,0,0,0,5,41,36,11
"Side by side Book 2",bccas,428.34,93,26,31,16,16,4,0,0,0,0,0,0,0,0
"Talk dirty Italian beyond Cazzo the curses sland and street lingo you need to know when you speak Italiano",acbk,457.09,93,0,0,0,0,18,18,10,15,14,11,6,1,0
"501 Portuguese verbs fully conjugated in all the tenses in a new easy to learn format alphabetically arranged",acbk,469.83421,93,0,7,9,15,13,14,6,8,3,7,7,4,0
"Instant immersion InglÃ¢Â€Âšs",bccd,428.3461,93,14,19,25,15,8,2,3,5,1,0,0,1,0
"NTCs compact Korean and English dictionary",acbk,495.7321,93,16,13,10,13,6,8,7,11,4,4,1,0,0
"Master the TOEFL test preparation kit",accas,428.24,93,40,18,17,12,5,1,0,0,0,0,0,0,0
"Better spelling in 5 minutes a day fun spelling activities for kids and parents on the go",jcbk,428.1,93,12,16,14,12,10,6,10,3,1,4,5,0,0
"Making out in Korean",acbk,495.78342,92,0,0,0,0,17,17,20,15,10,3,4,3,2
"Intermediate Italian for dummies",acbk,458.2421,92,0,0,0,19,13,16,10,13,5,4,5,2,5
"Spanish grammar for dummies",acbk,468.2421,92,0,0,0,0,0,0,0,0,6,28,22,24,12
"Words for smart test takers",acbk,428.1076,92,0,0,21,27,21,11,10,2,0,0,0,0,0
"My grammar and I or should that be me how to speak and write it right",acbk,428.2,92,0,0,0,0,0,24,15,11,8,12,9,7,6
"English the Berlitz way 2 for Chinese speakers",bckit,428.34951,91,27,16,10,14,20,4,0,0,0,0,0,0,0
"Oxford picture dictionary English Korean",bcbk,423.957,91,5,4,25,12,14,12,5,3,3,1,4,2,1
"word snoop",jcbk,420.9,91,0,0,0,20,15,16,8,6,6,6,4,10,0
"Grammar in 15 minutes a day",acbk,425,91,0,0,0,0,8,18,25,16,9,8,5,0,2
"Mei yu hui hua di yi bu 18 ge dong ci wei ni da xia yi kou liu li di hui hua ji chu",acbk,428.24,91,25,32,28,3,3,0,0,0,0,0,0,0,0
"My first 1000 words in Spanish a search and find book",jcbk,468.2421,91,0,0,0,0,0,0,0,0,0,0,29,38,24
"Visual dictionary",acbk,423.1,91,0,0,0,0,0,0,21,23,6,11,19,8,3
"best punctuation book period a comprehensive guide for every writer editor student and businessperson",acbk,428.23,91,0,0,0,0,0,0,0,0,37,15,19,9,11
"English grammar 9 Punctuation",bcdvd,428.2,91,0,0,0,0,0,0,14,23,16,9,16,9,4
"rper Collins Chinese concise dictionary Chinese English English Chinese",acbk,495.1321,91,23,25,14,8,8,3,6,3,1,0,0,0,0
"basic Oxford picture dictionary English Spanish InglÃ¢Â€Âšs EspaÃ‚Â¤ol",bcbk,463.21,91,0,0,0,0,22,26,34,8,1,0,0,0,0
"Swedish The short course",accd,439.78342,91,0,0,0,0,0,0,0,0,20,32,20,10,9
"PhotoReading whole mind system",acbk,428.43,91,10,11,19,13,13,8,8,9,0,0,0,0,0
"Websters English language desk reference the all in one dictionary thesaurus vocabulary builder and grammar guide",acbk,428,91,10,8,24,21,15,3,3,4,1,1,1,0,0
"Symbols art and language from the land of the dragon the cultural history of 100 Chinese characters",acbk,495.111,91,0,0,0,0,22,13,14,7,15,3,7,8,1
"German the complete course IV part B",accd,438.3421,91,0,0,0,0,0,0,0,0,4,34,25,19,9
"How to speak politely and why",jcbk,425,90,0,0,0,0,0,0,0,0,12,20,21,24,13
"InglÃ¢Â€Âšs para jardinerÃ‚Â¡a palabras y frases esenciales para comunicarse exitosamente en el trabajo de jardinerÃ‚Â¡a English for landscaping",bccd,428.3461,90,0,0,4,31,10,18,5,8,6,6,1,1,0
"8th grade reading comprehension and writing skills",acbk,428.00712,90,0,0,0,0,15,12,14,6,5,13,7,13,5
"501 Arabic verbs fully conjugated in all the aspects in a new easy to learn format alphabetically arranged",acbk,492.78,90,0,0,0,5,8,3,17,14,9,6,8,13,6
"first thesaurus",jcbk,423.1,90,12,10,11,13,15,10,9,3,2,2,2,1,0
"ABC pronunciary American English pronunciation dictionary",bcvhs,428.24,90,39,25,17,5,2,2,0,0,0,0,0,0,0
"Side by side Book 2",bcbk,428.24,90,0,0,0,0,0,0,0,0,0,19,25,34,12
"Spectrum vocabulary Grade 4",jcbk,428.1,89,0,0,0,0,0,0,0,20,23,9,22,10,5
"English for beginners Spanish",bcvhs,468.34,89,49,15,14,8,0,2,1,0,0,0,0,0,0
"French verbs for dummies",acbk,448.2421,89,0,0,0,20,20,15,17,13,4,0,0,0,0
"Speak to me interactive English learning system Set 3",bcdvd,428.34917,89,0,0,15,23,15,12,6,8,3,4,1,1,1
"Russian made nice easy",acbk,491.78242,89,0,0,0,14,13,13,6,12,6,5,8,7,5
"How much can a bare bear bear what are homonyms and homophones",jcbk,428.1,89,0,0,0,0,10,14,21,11,12,4,3,8,6
"Korean word book",jcbk,495.78,89,0,3,28,13,15,11,5,4,4,1,1,3,1
"Basic Japanese English dictionary Kiso Nihongo gakushu jiten",acbk,495.6321,89,18,15,11,14,9,6,7,9,0,0,0,0,0
"Mastering French vocabulary a thematic approach Wolfgang Fischer and Anne Marie Le Plouhinec",acbk,448.2421,89,26,14,16,15,10,7,1,0,0,0,0,0,0
"Voyager 1 reading and writing for todays adults",bcbk,428.2,89,0,0,0,10,17,15,13,8,11,4,3,3,5
"Dirty Spanish everyday slang from Whats Up to F% Off",acbk,467.09,89,0,0,0,0,27,23,23,11,3,2,0,0,0
"Colloquial Icelandic the complete course for beginners",accd,439.69834,89,0,0,0,0,0,8,10,13,14,17,13,8,6
"InglÃ¢Â€Âšs para restaurantes English for restaurants palabras y frases esenciales para comunicarse exitosamente en el trabajo de restaurantes",bccd,428.3461,89,0,0,2,31,14,18,11,4,4,3,1,1,0
"Zhongguo ren shuo Ying yu chang jian cuo wu Common mistakes of Chinese English speakers",acbk,428.2495,89,20,13,12,10,14,15,5,0,0,0,0,0,0
"English grammar 6 Agreement",bcdvd,428.2,89,0,0,0,0,0,0,13,30,12,11,16,7,0
"Chi chu Mei yu hua",bckit,428.34951,88,28,18,23,15,3,1,0,0,0,0,0,0,0
"Yes I could care less how to be a language snob without being a jerk",acbk,428.2,88,0,0,0,0,0,0,0,27,18,12,11,15,5
"InglÃ¢Â€Âšs para entrevistas de trabajo palabras y frases esenciales para comunicarse exitosamente en las entrevistas de trabajos English for job interviews",bccd,428.3461,88,0,0,4,27,15,15,10,3,7,6,0,1,0
"University of Chicago Spanish dictionary Spanish English English Spanish",acbk,463.21,88,27,27,13,8,10,3,0,0,0,0,0,0,0
"Side by side Book 1",bccas,428.34,88,37,22,17,8,4,0,0,0,0,0,0,0,0
"Martin Luther King Jr",bcbk,428.62,88,0,0,0,4,12,5,8,12,6,14,12,10,5
"Spanish conversation demystified a self teaching guide",acbk,428.3421,88,0,0,0,0,59,29,0,0,0,0,0,0,0
"dash of style the art and mastery of punctuation",acbk,428.2,88,11,12,10,13,9,5,4,4,3,6,5,3,3
"Bilingual visual dictionary Spanish English",acbk,463.21,87,19,23,22,12,4,5,1,1,0,0,0,0,0
"Hide this French book Xtreme",acbk,448.2421,87,0,0,0,0,22,17,14,7,9,10,5,1,2
"Oxford picture dictionary for the content areas",bcbk,423.1,87,19,12,13,22,9,6,3,2,0,0,1,0,0
"English alphabet",bcvhs,428.1,87,34,22,15,10,5,1,0,0,0,0,0,0,0
"F word",acbk,422,87,0,0,0,9,27,13,9,8,7,4,4,4,2
"Longman dictionary of American English",bcbk,423,87,14,15,31,23,4,0,0,0,0,0,0,0,0
"Pimsleur language programs French II B the complete course",accdrom,448.3421,87,22,22,17,17,7,2,0,0,0,0,0,0,0
"At work in the U S readings and language for job success",bckit,428.24024,87,19,24,17,9,7,5,3,1,1,1,0,0,0
"Japanese the complete course II Part B",accd,495.68342,87,0,0,0,0,0,0,0,0,2,23,32,17,12
"Collins German dictionary",acbk,433.21,87,15,14,7,7,6,7,6,2,7,5,3,8,0
"501 French verbs fully conjugated in all the tenses in a new easy to learn format",acbk,448.2421,87,25,11,24,11,7,7,2,0,0,0,0,0,0
"Correct your Italian blunders avoid 99% of the common mistakes made by learners of Italian",acbk,458.2421,87,0,0,0,20,14,10,11,4,7,7,6,4,4
"Merriam Websters primary dictionary",jcbk,423,87,12,10,11,10,14,10,10,4,2,0,3,1,0
"Pocket Oxford Chinese dictionary English Chinese Chinese English Ying Han Han Ying",acbk,495.1321,87,0,0,7,24,14,9,8,10,8,4,0,1,0
"complete idiots guide to learning Spanish on your own",acbk,468.2421,87,23,21,20,18,5,0,0,0,0,0,0,0,0
"Basic English grammar with answer key",acbk,428.24,87,0,0,0,40,41,6,0,0,0,0,0,0,0
"Babys first steps in Italian",jccd,458.3421,86,24,47,15,0,0,0,0,0,0,0,0,0,0
"Oxford A Z of grammar and punctuation",acbk,428.203,86,0,0,0,0,12,18,19,18,12,2,4,1,0
"Intermediate German for dummies",acbk,438.3421,86,0,0,0,14,16,7,5,7,4,13,11,3,6
"English grammar 10 Spelling capitalization",bcdvd,428.2,86,0,0,0,0,0,0,14,33,12,10,10,6,1
"InglÃ¢Â€Âšs para latinos Nivel dos",bcbk,428.2461,86,0,0,0,0,0,0,0,0,0,30,40,16,0
"Speak Norwegian with confidence",acbk,439.82834,86,0,0,0,0,11,20,15,10,8,10,3,5,4
"American heritage student thesaurus",acbk,423.1,86,10,9,7,12,6,2,8,5,7,12,3,4,1
"Jiao ji Ying yu mi ni guan yong ju",acbk,428.34,86,17,13,12,15,15,14,0,0,0,0,0,0,0
"Speak Dutch with confidence",acbk,439.31834,86,0,0,0,0,6,15,17,16,13,2,7,9,1
"Chien i Ying wen tso wen Easy English composition",bccas,428.34951,86,36,25,17,8,0,0,0,0,0,0,0,0,0
"Barrons IELTS International English Language Testing System",acbk,428.2407,86,0,0,0,0,0,0,0,0,0,0,19,35,32
"My first Yiddish word book",jcbk,439.18242,85,0,0,0,9,9,16,9,11,9,8,8,5,1
"English grammar 7 Modifiers",bcdvd,428.2,85,0,0,0,0,0,0,11,22,16,9,15,11,1
"Super grammar learn grammar with superheroes",jcbk,428,85,0,0,0,0,0,0,0,33,20,13,9,5,5
"Portuguese made nice easy",acbk,469.83421,85,0,0,0,19,17,8,6,4,6,5,8,8,4
"Between you me confessions of a comma queen",accd,428.2,85,0,0,0,0,0,0,0,0,0,41,29,10,5
"Euphemania our love affair with euphemisms",acbk,423.1,85,0,0,0,0,0,54,13,6,5,1,3,3,0
"McGraw Hills dictionary of American slang and colloquial expressions",acbk,427.97303,85,8,8,13,9,8,9,7,13,2,0,4,3,1
"American heritage picture dictionary",jcbk,423.17,85,0,0,0,0,0,0,0,0,0,22,23,31,9
"Aspire discovering your purpose through the power of words",acbk,420.143,85,0,0,0,0,32,13,10,11,12,4,3,0,0
"Wan yong sheng huo Yingyu 900 ju Daily English",acbk,428.34951,84,0,0,0,0,0,0,13,20,20,11,12,8,0
"Conversational Spanish in 20 lessons illustrated intended for self study and for use in schools with a simplified system of phonetic pronunciation",acbk,468.3421,84,29,17,13,10,9,6,0,0,0,0,0,0,0
"InglÃ¢Â€Âšs sin barreras 9 El trabajo el video maestro de inglÃ¢Â€Âšs conversacional",bcdvd,428.3461,84,0,0,0,16,22,12,7,11,6,7,3,0,0
"Oxford ESL dictionary for students of American English",bcbk,423,84,26,10,20,15,8,4,1,0,0,0,0,0,0
"knowledge deficit closing the shocking education gap for American children",acbk,428.4071,84,32,13,4,13,6,8,4,4,0,0,0,0,0
"Listen to me beginning listening speaking pronunciation",bccas,428,84,35,17,19,12,1,0,0,0,0,0,0,0,0
"LÃ‚Â¢ng is a dragon Chinese writing for children",jcbk,495.11,84,13,17,11,9,10,1,5,4,5,2,4,3,0
"First words Spanish",jcbk,468.3421,84,0,0,0,0,0,0,0,0,0,0,0,32,52
"Gen Aobama xue Yingyu zui han dong ren xin de yan shuo",acbk,428.34951,83,0,0,0,0,0,0,12,24,17,13,10,6,1
"story of aint America its language and the most controversial dictionary ever published",acbk,423.09,83,0,0,0,0,0,0,21,43,5,3,3,7,1
"Living in the USA a competency based novel for beginning intermediate students of English",bcbk,428.64,83,13,7,14,19,11,9,2,1,3,1,3,0,0
"Doing our own thing the degradation of language and music and why we should like care",acbk,427.973,83,11,10,13,16,12,7,1,6,2,2,2,1,0
"Highly recommended English for the hotel and catering industry students book",bcbk,428.24,83,0,3,29,24,10,6,4,6,0,1,0,0,0
"Grammar snobs are great big meanies a guide to language for fun and spite",acbk,428.0207,83,23,17,18,14,4,3,3,1,0,0,0,0,0
"Reading in 15 minutes a day",acbk,428.40712,83,0,0,0,0,13,17,16,14,10,3,5,4,1
"yo momma vocabulary builder",acbk,428.1,83,0,10,16,12,11,12,8,6,2,2,4,0,0
"English grammar 8 Parallel structure",bcdvd,428.2,83,0,0,0,0,0,0,11,26,14,8,10,11,3
"German made nice easy",acbk,438.3421,83,0,0,0,9,16,10,11,10,8,9,9,1,0
"Japanese the complete course II Part A",accd,495.68342,83,0,0,0,0,0,0,0,0,1,29,24,13,13
"TOEIC success",acbk,428.0076,83,16,18,13,14,12,3,7,0,0,0,0,0,0
"Guide to Spanish idioms a practical guide to 2500 Spanish idioms GuÃ‚Â¡a de modismos espaÃ‚Â¤oles",acbk,463.21,83,0,0,0,17,16,10,12,7,9,6,4,2,0
"German essentials for dummies",acbk,438.2421,82,0,0,0,0,0,0,0,0,6,24,27,13,12
"big book of words you should know over 3000 words every person should be able to use and a few that you probably shouldnt",acbk,423,82,0,0,0,0,18,18,16,9,8,2,4,5,2
"InglÃ¢Â€Âšs sin barreras 3 NÃ‚Â£meros horas y citas el video maestro de inglÃ¢Â€Âšs conversacional",bcdvd,428.3461,82,0,0,0,7,14,10,1,11,17,6,11,5,0
"Whatll I do with the baby o nursery rhymes songs and stories for babies",jcbk,428.00832,82,0,0,0,0,23,19,8,11,11,4,5,0,1
"English interactive for beginners Russian",bcdvd,428,82,0,12,19,16,15,9,3,3,2,2,1,0,0
"InglÃ¢Â€Âšs sin barreras el gran diccionario bilingÃ‚Âe EspaÃ‚Â¤ol InglÃ¢Â€Âšs InglÃ¢Â€Âšs EspaÃ‚Â¤ol",bcbk,463.21,82,0,15,30,12,8,3,4,6,1,1,0,2,0
"Index card games for ESL",bcbk,428.24,82,24,15,14,11,10,3,3,2,0,0,0,0,0
"whatchamacallit those everyday objects you just cant name and things you think you know about but dont",acbk,422,82,0,0,0,23,22,7,8,7,2,4,5,4,0
"First words French",jcbk,448.2421,82,0,0,0,0,0,0,0,0,0,0,0,26,56
"Muzzy level II German",jcdvd,428.3421,82,18,24,29,11,0,0,0,0,0,0,0,0,0
"Household Spanish how to communicate with Spanish speaking employees and fellow workers",acbk,468.3421,81,0,0,0,23,21,18,6,3,4,0,6,0,0
"Teaching English as a foreign language for dummies",acbk,428.24071,81,0,0,0,0,0,0,0,3,23,14,21,12,8
"More making out in Japanese",acbk,495.68342,81,0,0,0,0,15,13,10,7,7,9,7,10,2
"Side by side Book 4 Student book",bccd,428.34,81,0,0,0,0,0,19,14,16,13,10,3,6,0
"Xie hao Zhongguo zi yao ling",acbk,495.111,81,18,16,18,8,4,4,2,3,5,1,1,0,1
"English for everyone Course book Level 2 beginner",bcbk,428.24,81,0,0,0,0,0,0,0,0,0,0,0,54,27
"Everything you need to ace English language arts in one big fat notebook the complete middle school study guide",jcbk,428.00712,81,0,0,0,0,0,0,0,0,0,0,5,45,31
"Oxford picture dictionary English Arabic",bcbk,423.927,81,0,1,14,28,17,4,8,3,1,1,2,1,1
"Ready for adult phonics Level 2",acdvd,428.40715,81,0,0,0,0,20,20,9,16,8,4,2,0,2
"Rules Britannia an insiders guide to life in the United Kingdom",acbk,427,81,28,5,8,9,10,4,8,4,2,1,0,2,0
"Golosa a basic course in Russian",acbk,491.78242,80,14,10,8,9,13,7,11,7,1,0,0,0,0
"Websters New World compact school and office dictionary",acbk,423,80,23,15,11,17,6,6,2,0,0,0,0,0,0
"101 two letter words",acbk,428.1,80,0,0,0,0,0,0,0,0,27,34,5,9,5
"Semantic antics how and why words change meaning",acbk,422,80,0,0,33,10,6,5,6,5,4,2,5,3,1
"Knickers in a twist a dictionary of British slang",acbk,427.942,80,0,11,12,11,6,6,9,6,4,3,8,2,2
"Schaums outline of Chinese vocabulary",acbk,495.18242,80,10,13,14,11,9,6,4,8,1,1,2,1,0
"How not to write the essential misrules of grammar",acbk,428,80,14,11,16,9,9,3,10,8,0,0,0,0,0
"Lets learn Japanese picture dictionary Etoki jisho de Nihongo o manabimasho",jcbk,495.6321,79,0,0,0,0,0,0,0,0,0,0,21,32,23
"Righting the mother tongue from Olde English to email the tangled story of English spelling",acbk,421.52,79,0,0,18,34,10,8,2,3,1,2,1,0,0
"Hippocrene childrens illustrated Russian dictionary English Russian Russian English",jcbk,491.7321,79,7,7,9,12,9,5,7,11,4,4,4,0,0
"prodigal tongue the love hate relationship between British and American English",acbk,427.9,79,0,0,0,0,0,0,0,0,0,0,0,0,79
"Grammar the structure of language",acbk,425,79,0,0,0,0,0,0,8,25,13,9,11,6,7
"Speak to me",blvhs,428,79,39,17,18,5,0,0,0,0,0,0,0,0,0
"Swedish essentials of grammar a practical guide to the mastery of Swedish",acbk,439.78242,79,0,0,0,0,15,8,11,9,11,9,6,8,2
"Langenscheidt pocket dictionary Korean Korean English English Korean",acbk,495.7321,79,0,0,7,10,8,11,6,11,7,6,4,7,1
"Dutch made nice easy",acbk,439.31824,79,0,0,0,11,12,8,6,7,7,8,9,5,6
"Italian the complete course IV part B",accd,458.3421,79,0,0,0,0,0,0,0,0,6,26,15,21,11
"Japanese for busy people III",acbk,495.68342,79,0,0,14,14,10,8,3,3,3,6,5,7,6
"Accent correction reduction for speakers of English whose first language is Vietnamese",bcvhs,428.1,79,39,19,11,7,2,1,0,0,0,0,0,0,0
"Decoding China a handbook for traveling studying and working in todays China",acbk,495.18242,79,0,0,0,0,0,0,0,17,21,12,13,11,5
"Pocket Oxford English dictionary",acbk,423,79,20,21,17,16,4,1,0,0,0,0,0,0,0
"Easy American idioms",bccd,427.973,78,0,0,0,0,0,0,0,0,3,18,30,20,7
"French essentials for dummies",acbk,448.2421,78,0,0,0,0,0,0,0,0,3,36,22,12,5
"Aprenda inglÃ¢Â€Âšs ya",acbk,428.2461,78,0,0,0,0,0,20,22,9,16,6,4,1,0
"Mortal syntax 101 language choices that will get you clobbered by the grammar snobs even if youre right",acbk,425,78,0,0,29,10,8,6,4,8,8,2,0,1,2
"Cassells contemporary French a handbook of grammar current usage and word power",acbk,448.2421,78,14,10,11,9,13,12,9,0,0,0,0,0,0
"Vocabulary 10000 for the advanced learners",bccas,428.34,78,19,21,14,12,3,6,3,0,0,0,0,0,0
"Vocabulary for dummies",acbk,428.1,78,0,5,18,16,10,9,6,6,6,2,0,0,0
"Remembering the kanji a complete course on how not to forget the meaning and writing of Japanese characters",acbk,495.68242,78,0,6,37,16,11,8,0,0,0,0,0,0,0
"Chao qiang Meiguo kou yu yong zui jian dan di zi hua zui shao di shi jian shuo zui dao di di Mei yu Spoken English",acbk,428.2495,78,17,15,12,14,9,7,4,0,0,0,0,0,0
"Chinese language for beginners",jcbk,495.18342,78,23,15,12,6,7,4,6,5,0,0,0,0,0
"Portuguese phrase book",acbk,469.83421,78,10,15,10,9,8,12,8,6,0,0,0,0,0
"Japanese picture dictionary",jcbk,495.6321,78,0,0,0,0,0,0,0,9,21,21,11,9,6
"story of Yiddish how a mish mosh of languages saved the Jews",acbk,439.109,78,0,0,21,7,7,10,8,7,6,5,4,2,1
"Grammar power",acbk,428.2,77,17,22,22,14,2,0,0,0,0,0,0,0,0
"Excuse me your participles dangling how to use grammar to make your writing powers soar",acbk,428.2,77,0,0,0,0,0,0,0,24,24,17,4,3,5
"Chinese the easy way",acbk,495.18342,77,16,11,11,10,6,4,3,2,3,3,3,4,1
"San fen zhong xue hui dao di Mei yu",acbk,428.2495,77,18,11,12,6,13,8,6,3,0,0,0,0,0
"Word myths debunking linguistic urban legends",acbk,422,77,10,9,7,19,6,5,3,6,4,3,2,1,2
"Speak to me survival vocabulary set 1 part 2",bcvhs,428.34,77,41,20,10,5,1,0,0,0,0,0,0,0,0
"NTCs compact Russian and English dictionary",acbk,491.7321,77,1,8,15,7,5,9,9,12,7,0,2,2,0
"Focus on grammar a basic course for reference and practice",bccas,428.24,77,37,14,17,6,3,0,0,0,0,0,0,0,0
"Word savvy use the right word every time all the time",acbk,428,77,0,0,0,0,0,0,20,18,18,7,3,5,6
"Spectrum vocabulary Grade 5",jcbk,428.1,77,0,0,0,0,0,0,0,19,17,13,14,10,4
"Easy hiragana first steps to reading and writing basic Japanese",acbk,495.68242,77,36,24,14,3,0,0,0,0,0,0,0,0,0
"Niubi the real Chinese you were never taught in school",acbk,495.18342,77,0,0,0,0,17,18,7,14,5,5,7,4,0
"last lingua franca English until the return of Babel",acbk,420.9,77,0,0,0,0,6,36,7,12,7,1,5,3,0
"Chi chu Mei yu hua",bccas,428.34951,77,40,18,11,8,0,0,0,0,0,0,0,0,0
"InglÃ¢Â€Âšs English for Spanish speakers el curso completo 1A",bccd,428.3461,77,0,0,0,0,11,9,9,12,6,14,12,4,0
"Japanese street slang",acbk,495.67,77,0,0,0,0,0,2,15,9,13,13,8,10,6
"Collins Spanish English English Spanish dictionary Collins Dissionario EspaÃ‚Â¤ol inglÃ¢Â€Âšs inglÃ¢Â€Âšs espaÃ‚Â¤ol",acbk,463.21,76,18,20,15,9,6,1,5,2,0,0,0,0,0
"Basic Korean a grammar and workbook",acbk,495.78242,76,0,0,0,2,18,15,5,4,6,6,11,8,1
"Usborne first thousand words in Arabic with easy pronunciation guide",jcbk,492.78242,76,6,17,16,17,14,5,1,0,0,0,0,0,0
"Lets go to market in China",jcvhs,495.1,76,27,24,18,7,0,0,0,0,0,0,0,0,0
"Learn French the fast and fun way",accas,448,76,20,25,15,11,5,0,0,0,0,0,0,0,0
"Merriam Websters pocket dictionary",acbk,423,76,0,0,0,0,0,23,24,10,9,1,4,4,1
"Ack Theres a bug in my ear and other sayings that just arent true",jcbk,428,76,0,0,14,6,9,7,15,12,5,3,4,1,0
"Italian Disc 5 Happy sad and silly",jcdvd,458.3421,76,0,0,0,0,0,0,16,18,14,14,6,7,1
"InglÃ¢Â€Âšs para latinos Nivel dos",bccd,428.2461,76,0,0,0,0,0,40,21,6,6,1,1,1,0
